Дата;Цена;Откр.;Макс.;Мин.;Объём;Изм.%
26.06.2025;139.15;139.41;139.45;139.15;;-0.17
25.06.2025;139.39;139.27;139.50;139.26;;0.09
24.06.2025;139.26;139.19;139.31;139.00;;0.06
23.06.2025;139.18;139.37;139.45;139.14;;-0.14
20.06.2025;139.37;139.27;139.50;139.16;;0.08
19.06.2025;139.26;138.95;139.45;138.95;;0.23
18.06.2025;138.94;138.95;139.21;138.80;;-0.01
17.06.2025;138.96;139.01;139.07;138.45;;-0.04
16.06.2025;139.01;139.08;139.08;138.98;;-0.02
13.06.2025;139.04;139.28;139.67;139.01;;-0.12
12.06.2025;139.21;138.89;139.26;138.76;;0.23
11.06.2025;138.89;138.66;138.98;138.64;;0.18
10.06.2025;138.64;138.66;138.69;138.42;;0.00
09.06.2025;138.64;138.67;138.70;138.64;;-0.33
06.06.2025;139.10;139.23;139.49;139.07;;-0.12
05.06.2025;139.27;139.18;139.45;139.05;;0.03
04.06.2025;139.23;139.03;139.25;138.91;;0.14
03.06.2025;139.04;138.90;139.25;138.85;;0.10
02.06.2025;138.90;138.89;138.91;138.86;;-0.25
30.05.2025;139.25;139.29;139.32;138.94;;-0.04
29.05.2025;139.31;138.75;139.51;138.71;;0.40
28.05.2025;138.75;139.30;139.33;138.59;;-0.38
27.05.2025;139.28;139.33;139.52;139.07;;-0.01
26.05.2025;139.29;139.38;139.43;139.27;;-0.06
23.05.2025;139.37;138.67;139.87;138.58;;0.49
22.05.2025;138.69;138.79;138.93;138.53;;-0.07
21.05.2025;138.79;139.10;139.20;138.67;;-0.24
20.05.2025;139.12;139.38;139.46;138.79;;-0.19
19.05.2025;139.39;139.37;139.42;139.33;;-0.07
16.05.2025;139.49;139.43;139.63;139.28;;0.00
15.05.2025;139.49;139.19;139.56;139.07;;0.22
14.05.2025;139.19;139.35;139.51;139.01;;-0.11
13.05.2025;139.34;139.21;139.72;139.06;;0.09
12.05.2025;139.21;139.36;139.36;139.18;;-0.73
09.05.2025;140.24;140.26;140.39;140.14;;-0.01
08.05.2025;140.25;140.79;141.08;140.14;;-0.38
07.05.2025;140.79;140.97;141.13;140.61;;-0.10
06.05.2025;140.93;141.08;141.10;140.90;;-0.11
05.05.2025;141.08;141.08;141.08;141.08;;0.13
02.05.2025;140.89;141.36;141.42;140.85;;-0.32
01.05.2025;141.34;140.84;141.49;140.65;;0.37
30.04.2025;140.82;140.66;140.93;140.42;;0.11
29.04.2025;140.67;140.46;140.68;140.32;;0.14
28.04.2025;140.47;140.47;140.47;140.47;;0.06
25.04.2025;140.38;140.49;140.52;140.23;;-0.09
24.04.2025;140.50;140.18;140.78;140.12;;0.24
23.04.2025;140.16;140.29;140.58;139.94;;-0.07
22.04.2025;140.26;140.68;140.86;140.23;;-0.28
21.04.2025;140.65;140.83;140.83;140.64;;-0.11
17.04.2025;140.80;141.16;141.25;140.57;;-0.22
16.04.2025;141.11;140.76;141.51;140.63;;0.27
15.04.2025;140.73;141.07;141.10;140.20;;-0.26
14.04.2025;141.10;141.00;141.11;140.94;;-0.18
11.04.2025;141.35;140.86;142.04;140.70;;0.33
10.04.2025;140.89;140.20;141.07;140.14;;0.51
09.04.2025;140.18;141.10;141.56;139.88;;-0.64
08.04.2025;141.09;140.83;141.63;140.05;;0.23
07.04.2025;140.76;140.87;141.10;140.76;;-1.41
06.04.2025;142.77;142.38;142.96;142.37;;0.94
04.04.2025;141.44;140.55;142.37;140.43;;0.60
03.04.2025;140.59;139.76;140.65;139.35;;0.53
02.04.2025;139.85;138.18;139.99;138.17;;1.21
01.04.2025;138.18;138.20;138.51;138.08;;-0.03
31.03.2025;138.22;138.24;138.30;138.22;;0.11
30.03.2025;138.07;138.05;138.07;137.99;;0.09
28.03.2025;137.95;137.44;137.95;137.44;;0.36
27.03.2025;137.45;137.47;137.57;137.33;;0.00
26.03.2025;137.45;137.44;137.62;137.27;;0.01
25.03.2025;137.43;137.70;137.72;137.34;;-0.20
24.03.2025;137.71;137.68;137.71;137.64;;-0.22
23.03.2025;138.01;138.09;138.09;137.99;;-0.04
21.03.2025;138.07;137.91;138.20;137.91;;0.12
20.03.2025;137.90;138.16;138.23;137.89;;-0.17
19.03.2025;138.14;138.39;138.42;137.94;;-0.18
18.03.2025;138.39;138.42;138.44;138.15;;-0.01
17.03.2025;138.40;138.41;138.42;138.31;;0.09
16.03.2025;138.28;138.26;138.31;138.24;;0.11
14.03.2025;138.13;137.95;138.34;137.64;;0.12
13.03.2025;137.96;138.04;138.20;137.69;;-0.04
12.03.2025;138.02;137.91;138.20;137.82;;0.07
11.03.2025;137.92;138.07;138.49;137.81;;-0.12
10.03.2025;138.09;138.10;138.11;138.00;;0.12
09.03.2025;137.92;137.98;137.98;137.88;;-0.09
07.03.2025;138.04;138.01;138.29;137.79;;0.02
06.03.2025;138.01;138.07;138.26;137.57;;-0.03
05.03.2025;138.05;138.64;138.76;138.02;;-0.45
04.03.2025;138.67;138.99;139.06;138.61;;-0.24
03.03.2025;139.00;138.96;139.01;138.95;;0.03
02.03.2025;138.96;139.07;139.09;138.96;;-0.53
28.02.2025;139.70;139.62;139.92;139.60;;0.03
27.02.2025;139.66;139.67;139.75;139.24;;0.01
26.02.2025;139.65;140.08;140.31;139.61;;-0.31
25.02.2025;140.08;139.75;140.13;139.53;;0.22
24.02.2025;139.77;139.75;139.82;139.71;;0.12
23.02.2025;139.60;139.66;139.66;139.58;;0.09
21.02.2025;139.48;138.78;139.75;138.78;;0.51
20.02.2025;138.77;138.93;139.17;138.73;;-0.11
19.02.2025;138.92;138.91;139.26;138.71;;-0.01
18.02.2025;138.94;139.26;139.37;138.89;;-0.23
17.02.2025;139.26;139.24;139.29;139.19;;-0.22
16.02.2025;139.57;139.66;139.67;139.56;;-0.04
14.02.2025;139.63;139.80;139.83;139.53;;-0.12
13.02.2025;139.80;139.51;139.93;139.51;;0.22
12.02.2025;139.50;139.85;139.97;139.44;;-0.25
11.02.2025;139.85;140.06;140.07;139.83;;-0.14
10.02.2025;140.05;140.13;140.13;139.90;;-0.05
09.02.2025;140.12;140.12;140.16;140.11;;0.07
07.02.2025;140.02;140.26;140.32;139.88;;-0.16
06.02.2025;140.25;140.47;140.52;140.20;;-0.15
05.02.2025;140.46;140.27;140.51;140.16;;0.13
04.02.2025;140.28;140.57;140.65;140.25;;-0.21
03.02.2025;140.58;140.56;141.03;140.56;;0.02
02.02.2025;140.55;140.64;140.64;140.50;;-0.13
31.01.2025;140.73;140.88;140.91;140.63;;-0.11
30.01.2025;140.88;140.98;141.07;140.84;;-0.08
29.01.2025;140.99;141.18;141.30;140.99;;-0.13
28.01.2025;141.18;141.20;141.22;141.05;;-0.01
27.01.2025;141.20;140.73;141.42;140.63;;0.33
26.01.2025;140.74;140.64;140.75;140.64;;0.04
24.01.2025;140.68;140.92;140.95;140.57;;-0.18
23.01.2025;140.93;141.09;141.09;140.82;;-0.11
22.01.2025;141.09;141.20;141.21;140.91;;-0.08
21.01.2025;141.21;141.13;141.25;141.09;;0.05
20.01.2025;141.14;140.97;141.19;140.95;;0.12
19.01.2025;140.97;141.03;141.03;140.95;;-0.02
17.01.2025;141.00;141.22;141.27;140.96;;-0.15
16.01.2025;141.21;140.87;141.21;140.71;;0.44
15.01.2025;140.59;140.68;140.79;140.51;38.00K;-0.05
14.01.2025;140.66;141.07;141.11;140.51;45.23K;0.05
13.01.2025;140.59;140.50;140.66;140.44;;-0.33
10.01.2025;141.06;141.32;141.33;141.05;30.29K;-0.18
09.01.2025;141.31;141.26;141.35;141.09;34.61K;0.06
08.01.2025;141.23;141.61;141.61;141.17;34.99K;-0.26
07.01.2025;141.60;141.59;141.67;141.45;35.06K;0.01
06.01.2025;141.59;141.94;142.15;141.57;31.53K;-0.30
03.01.2025;142.01;141.99;142.09;141.94;;0.01
02.01.2025;142.00;142.09;142.09;141.98;;-0.06
01.01.2025;142.09;142.08;142.10;142.08;;0.01
31.12.2024;142.07;142.08;142.16;141.94;;0.12
30.12.2024;141.90;141.81;141.92;141.65;19.56K;0.06
27.12.2024;141.82;141.90;142.10;141.78;17.95K;-0.06
26.12.2024;141.90;142.19;142.22;141.80;15.55K;-0.23
25.12.2024;142.23;142.18;142.34;142.07;13.79K;0.03
24.12.2024;142.19;142.32;142.37;142.13;20.70K;-0.08
23.12.2024;142.31;142.50;142.63;142.31;25.13K;-0.11
20.12.2024;142.47;142.16;142.72;142.09;42.58K;0.23
19.12.2024;142.14;142.38;142.40;141.87;39.68K;-0.17
